,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it71,8.318732778,9.050879114,9.566768646,9.050879114,9.566768646,9.050879114,9.566768646
it72,9.35169155,9.35169155,9.519425956,9.35169155,9.519425956,9.35169155,9.519425956
it73,8.029358302,8.029358302,8.029358302,8.029358302,8.029358302,8.029358302,8.029358302
it74,9.490917856,9.56030135,9.71969641,9.56030135,9.71969641,9.56030135,9.71969641
it75,6.424758588,6.424758588,6.424758588,6.424758588,6.424758588,6.424758588,6.424758588
it76,8.1499676,9.230270342,9.705778926,9.230270342,9.705778926,9.230270342,9.705778926
it77,7.244459096,7.786551482,8.68018689,7.786551482,8.68018689,7.786551482,8.68018689
it78,9.974807368,11.20179873,11.49029609,11.20179873,11.49029609,11.20179873,11.49029609
it79,5.729250664,5.729250664,5.729250664,5.729250664,7.024792468,5.729250664,5.729250664
it80,8.45172924,8.486166714,8.486166714,8.486166714,8.486166714,8.486166714,8.486166714
it81,8.968127008,9.324872622,10.81146895,9.324872622,10.81146895,9.324872622,10.81146895
it82,7.335733138,7.499484268,7.499484268,7.499484268,7.499484268,7.499484268,7.499484268
it83,7.83578421,7.83578421,8.133103216,7.83578421,8.133103216,7.83578421,8.133103216
it84,10.19924094,10.54712492,10.95557063,10.54712492,10.95557063,10.54712492,10.95557063
it85,9.414022568,9.414022568,9.414022568,9.414022568,9.414022568,9.414022568,9.414022568
it86,9.480935568,9.480935568,9.631278276,9.480935568,9.631278276,9.480935568,9.631278276
it87,8.24238726,8.24238726,8.56156709,8.24238726,8.56156709,8.24238726,8.56156709
it88,10.75512486,10.75512486,11.1124302,10.75512486,11.1124302,10.75512486,11.1124302
it89,8.26154556,8.306381718,9.293557288,8.306381718,9.293557288,8.306381718,9.293557288
it90,9.488645534,9.488645534,9.488645534,9.488645534,9.488645534,9.488645534,9.488645534
it91,7.310670768,8.031152622,8.031152622,8.031152622,8.031152622,8.031152622,8.031152622
it92,8.98942582,8.98942582,9.427156394,8.98942582,9.427156394,8.98942582,9.427156394
it93,8.838417372,8.838417372,8.838417372,8.838417372,8.838417372,8.838417372,8.838417372
it94,6.921056684,7.02243709,7.241059686,7.02243709,7.241059686,7.02243709,7.241059686
it95,8.090596772,8.090596772,8.387551982,8.090596772,8.387551982,8.090596772,8.387551982
it96,8.27784284,8.27784284,8.441822852,8.27784284,8.441822852,8.27784284,8.441822852
it97,10.38621953,10.38621953,10.57717526,10.38621953,10.57717526,10.38621953,10.57717526
it98,10.05945788,10.05945788,10.05945788,10.05945788,10.05945788,10.05945788,10.05945788
it99,7.291862614,7.291862614,7.929360316,7.291862614,7.929360316,7.291862614,7.929360316
it100,10.57119699,10.57119699,10.6173104,10.57119699,10.6173104,10.57119699,10.6173104
it101,7.27291033,7.27291033,7.27291033,7.27291033,7.27291033,7.27291033,7.27291033
it102,8.049903102,8.049903102,8.049903102,8.049903102,8.049903102,8.049903102,8.049903102
it103,12.31608147,12.31608147,12.32408683,12.31608147,12.32408683,12.31608147,12.32408683
it104,9.469806838,9.469806838,9.469806838,9.469806838,9.469806838,9.469806838,9.469806838
it105,4.804797452,4.804797452,4.804797452,4.804797452,4.804797452,4.804797452,4.804797452
it106,6.042807674,6.042807674,6.042807674,6.042807674,6.042807674,6.042807674,6.042807674
it107,8.340021694,8.652835906,9.018913094,8.652835906,9.018913094,8.652835906,9.018913094
it108,11.49034435,11.70302357,12.02520568,11.70302357,12.02520568,11.70302357,12.02520568
it109,10.27506466,10.27506466,10.47117071,10.27506466,10.47117071,10.27506466,10.47117071
it110,6.243599348,6.828773712,7.536740634,6.828773712,7.536740634,6.828773712,7.536740634
it111,7.494039444,7.494039444,7.494039444,7.494039444,7.494039444,7.494039444,7.494039444
it112,7.240698926,7.240698926,7.240698926,7.240698926,7.240698926,7.240698926,7.240698926
it113,8.53392985,8.53392985,8.53392985,8.53392985,8.53392985,8.53392985,8.53392985
it114,7.829957124,8.28239838,8.41861111,8.28239838,8.41861111,8.28239838,8.41861111
it115,7.969456756,8.301854808,8.49596405,8.301854808,8.49596405,8.301854808,8.49596405
it116,4.53710833,5.469421248,5.469421248,5.469421248,5.469421248,5.469421248,5.469421248
it117,7.618130626,7.618130626,7.816094408,7.618130626,7.816094408,7.618130626,7.816094408
it118,4.163686794,5.002007278,6.561048882,5.002007278,6.561048882,5.002007278,6.561048882
it119,7.061782292,7.080967692,7.288039954,7.080967692,7.288039954,7.080967692,7.288039954
it120,5.324008038,5.324008038,5.975358874,5.324008038,5.975358874,5.324008038,5.975358874
it121,7.116324496,8.125151154,8.148124756,8.125151154,8.148124756,8.125151154,8.148124756
it122,7.708747782,8.053649748,9.168802684,8.053649748,9.168802684,8.053649748,9.168802684
it123,10.34759798,10.57326036,11.03092754,10.57326036,11.03092754,10.57326036,11.03092754
it124,9.653102114,9.653102114,9.653102114,9.653102114,9.653102114,9.653102114,9.653102114
it125,10.09388245,10.31218851,10.94623931,10.31218851,10.94623931,10.31218851,10.94623931
it126,11.44461989,11.68300456,11.74428611,11.68300456,11.74428611,11.68300456,11.74428611
it127,5.70110965,6.240733948,6.291275762,6.240733948,6.291275762,6.240733948,6.291275762
it128,7.819489854,8.968484668,9.721693034,8.968484668,9.721693034,8.968484668,9.721693034
it129,7.743452492,7.743452492,7.743452492,7.743452492,7.743452492,7.743452492,7.743452492
it130,7.99348332,7.99348332,8.014902106,7.99348332,8.014902106,7.99348332,8.014902106
it131,9.158174712,9.158174712,9.158174712,9.158174712,9.158174712,9.158174712,9.158174712
it132,10.11433686,10.11433686,10.11433686,10.11433686,10.11433686,10.11433686,10.11433686
it133,9.040891754,9.492527754,9.669934304,9.492527754,9.669934304,9.492527754,9.669934304
it134,7.487725482,7.487725482,7.487725482,7.487725482,7.487725482,7.487725482,7.487725482
it135,7.687497444,7.742108174,8.105852292,7.742108174,8.105852292,7.742108174,8.105852292
it136,6.738825392,6.989171582,7.69222803,6.989171582,7.69222803,6.989171582,7.69222803
it137,8.177932464,8.177932464,8.177932464,8.177932464,8.177932464,8.177932464,8.177932464
it138,9.081028906,9.60706176,10.39001246,9.60706176,10.39001246,9.60706176,10.39001246
it139,10.52735788,11.2950817,12.14589755,11.2950817,12.14589755,11.2950817,12.14589755
it140,10.0571302,10.0571302,10.0571302,10.0571302,10.0571302,10.0571302,10.0571302
it141,10.92498243,10.92498243,10.92498243,10.92498243,10.92498243,10.92498243,10.92498243
it142,9.031757888,9.031757888,9.031757888,9.031757888,9.031757888,9.031757888,9.031757888
it143,9.967052784,9.967052784,9.967052784,9.967052784,9.967052784,9.967052784,9.967052784
it144,8.691782172,8.691782172,8.885327312,8.691782172,8.885327312,8.691782172,8.885327312
it145,7.337768112,7.95299379,8.690537392,7.95299379,8.690537392,7.95299379,8.690537392
it146,9.157753822,9.157753822,9.239883402,9.157753822,9.239883402,9.157753822,9.239883402
it147,10.74630354,10.75195161,10.99284372,10.75195161,10.99284372,10.75195161,10.99284372
it148,8.705790542,9.124492144,9.52811298,9.124492144,9.52811298,9.124492144,9.52811298
it149,6.705503274,6.705503274,6.705503274,6.705503274,6.705503274,6.705503274,6.705503274
it150,9.891011042,10.48948254,11.19812272,10.48948254,11.19812272,10.48948254,11.19812272
it151,9.691548878,9.691548878,9.691548878,9.691548878,9.691548878,9.691548878,9.691548878
it152,6.518569118,6.970751802,7.143010052,6.970751802,7.143010052,6.970751802,7.143010052
it153,6.866344032,6.866344032,6.866344032,6.866344032,6.866344032,6.866344032,6.866344032
it154,6.087636778,6.555339982,6.555339982,6.555339982,6.555339982,6.555339982,6.555339982
it155,9.218601666,9.235521026,9.342105784,9.235521026,9.342105784,9.235521026,9.342105784
it156,6.803599654,7.402958194,8.215292616,7.402958194,8.215292616,7.402958194,8.215292616
it157,8.855030576,8.855030576,8.855030576,8.855030576,8.855030576,8.855030576,8.855030576
it158,8.817373,8.87131948,9.686202098,8.87131948,9.686202098,8.87131948,9.686202098
it159,7.174048952,7.915528052,8.735246,7.915528052,8.735246,7.915528052,8.735246
it160,5.808221084,6.615397612,6.740502586,6.615397612,7.961285504,6.615397612,6.740502586
it161,9.854808832,9.854808832,9.854808832,9.854808832,9.854808832,9.854808832,9.854808832
it162,8.198151226,8.675459444,9.040205218,8.675459444,9.040205218,8.675459444,9.040205218
it163,8.2435798,8.323646422,8.467478912,8.323646422,8.467478912,8.323646422,8.467478912
it164,9.222967714,9.222967714,9.222967714,9.222967714,9.222967714,9.222967714,9.222967714
it165,9.341932452,9.531184702,9.531184702,9.531184702,9.531184702,9.531184702,9.531184702
it166,7.772066034,7.772066034,7.882116986,7.772066034,7.882116986,7.772066034,7.882116986
it167,6.679367636,6.679367636,7.85656638,7.688973826,7.85656638,6.679367636,7.85656638
it168,9.794549376,9.794549376,9.794549376,9.794549376,9.794549376,9.794549376,9.794549376
it169,8.330737368,8.330737368,8.399481288,8.330737368,8.399481288,8.330737368,8.399481288
it170,9.135730706,9.135730706,9.377004062,9.135730706,9.377004062,9.135730706,9.377004062
it171,7.37786556,7.37786556,7.430743588,7.37786556,7.430743588,7.37786556,7.430743588
it172,9.911031914,9.911031914,10.19603625,9.911031914,10.19603625,9.911031914,10.19603625
it173,7.961992108,7.961992108,7.961992108,7.961992108,7.961992108,7.961992108,7.961992108
it174,5.45578711,5.45578711,5.45578711,5.45578711,5.45578711,5.45578711,5.45578711
it175,7.801313544,7.82138586,7.82138586,7.82138586,7.82138586,7.82138586,7.82138586
it176,11.78511073,11.78511073,11.78511073,11.78511073,11.78511073,11.78511073,11.78511073
it177,8.92238493,10.18135784,10.37804356,10.18135784,10.37804356,10.18135784,10.37804356
it178,8.821713276,8.821713276,8.821713276,8.821713276,8.821713276,8.821713276,8.821713276
it179,9.251953684,9.390614008,9.447881354,9.390614008,9.447881354,9.390614008,9.447881354
it180,5.74025123,6.188065862,6.575082536,6.188065862,6.575082536,6.188065862,6.575082536
it181,10.33979761,10.33979761,10.33979761,10.33979761,10.33979761,10.33979761,10.33979761
it182,10.46112582,10.46112582,10.7282118,10.46112582,10.7282118,10.46112582,10.7282118
it183,9.052476792,9.052476792,9.129514076,9.052476792,9.129514076,9.052476792,9.129514076
it184,7.504392518,8.026470878,8.026470878,8.026470878,8.026470878,8.026470878,8.026470878
it185,9.810794352,9.810794352,9.99326666,9.810794352,9.99326666,9.810794352,9.99326666
it186,9.222592426,9.947325186,10.9195054,9.947325186,10.9195054,9.947325186,10.9195054
it187,8.280738628,8.738782652,9.582864514,8.738782652,9.582864514,8.738782652,9.582864514
it188,6.517927746,6.69512314,6.69512314,6.69512314,6.69512314,6.69512314,6.69512314
it189,9.39509607,9.770113148,10.26909778,9.770113148,10.26909778,9.770113148,10.26909778
it190,6.510700238,6.510700238,6.510700238,6.510700238,7.532627002,6.510700238,6.510700238
it191,8.004357368,8.004357368,8.18110691,8.004357368,8.18110691,8.004357368,8.18110691
it192,6.243993446,6.243993446,7.018529974,6.243993446,7.018529974,6.243993446,7.018529974
it193,8.98022969,9.07303775,9.095419528,9.07303775,9.095419528,9.07303775,9.095419528
it194,8.042913522,8.628237582,9.557884566,8.628237582,9.557884566,8.628237582,9.557884566
it195,4.940405586,4.940405586,5.362695386,4.940405586,5.362695386,4.940405586,5.362695386
it196,7.591342692,7.591342692,7.591342692,7.591342692,7.591342692,7.591342692,7.591342692
it197,8.555248172,8.79585042,8.79585042,8.79585042,9.889044694,8.79585042,8.79585042
it198,8.587354068,8.765591168,8.926120388,8.765591168,8.926120388,8.765591168,8.926120388
it199,6.330038202,6.894586134,7.32444748,6.894586134,7.32444748,6.894586134,7.32444748
